,VOLUME_SESSION,AVG_J_S,Rech_Moy,MNT_FORFAIT_DATA,NB_JOUR_ACT_IN,revenu_cdr,P_revenu_data,P_FF_Journalier,P_FF_mensuel,P_N_Rech_sup5,Evolution volume session,Evolution rech_moy,pca_clusters
2997,0.0,1.29,1.47,0.0,22.666999999999998,4.05,0.0,0.0,0.0,0.2,0,0,0
2998,0.0,0.0,5.0,1.95,30.0,35.43,0.05,1.0,0.0,1.0,0,0,1
2999,0.0,0.0,1.0,0.0,14.667,2.83,0.0,0.0,0.0,0.0,0,0,1
3000,2355.96,0.0,1.52,9.93,26.0,0.31,0.97,0.83,0.04,0.16,178,0,2
3001,0.0,0.0,4.85,0.0,27.333000000000002,13.92,0.09,0.0,0.0,0.97,0,0,1
3003,0.0,0.0,5.55,0.0,0.833,0.0,0.0,0.0,0.0,0.33,0,0,0
3004,0.0,0.0,1.0,0.0,27.666999999999998,15.06,0.0,0.0,0.0,0.0,0,0,0
3005,759.65,0.0,1.31,4.66,24.166999999999998,4.79,0.49,1.0,0.0,0.11,184,0,0
3006,0.48,0.0,3.85,0.0,30.0,9.75,0.33,0.0,0.0,0.74,0,0,1
3007,5.15,0.67,5.06,0.0,4.333,1.85,0.0,0.0,0.0,0.33,0,0,2
3008,4050.0,0.0,1.71,15.47,30.0,3.97,0.8,0.74,0.26,0.2,10,0,2
3009,1185.48,0.0,1.0,7.52,25.5,6.92,0.52,1.0,0.0,0.0,35,0,0
3010,0.0,0.0,4.24,0.0,25.333000000000002,14.46,0.0,0.0,0.0,0.84,0,0,1
3011,1.35,0.0,1.09,0.15,22.666999999999998,9.14,0.02,0.17,0.0,0.01,0,0,1
3012,93.98,0.0,4.79,1.05,29.333000000000002,13.59,0.07,0.67,0.0,0.96,46,0,0
3013,0.0,0.0,3.86,0.0,25.5,14.13,0.0,0.0,0.0,0.74,0,0,2
3014,0.0,17.63,1.0,0.0,17.833,0.45,0.0,0.0,0.0,0.0,0,0,1
